id,turn1,turn2,turn3,numUtterances,hitCountEmotion,hitCountAppraisal
797,Thanks,Most welcome anytime ;),You are looking so good,0,0,0
798,Ok,when's good for you?,Means I don't understand,0,0,0
799,And then,then you wait.,If she not,0,0,0
800,give me an example,every failed & discontinued product is an example.,should i stay or should i go,0,0,0
801,Then what's that,It is a brilliant movie :),Who is actor,0,0,0
802,Nowhere,I KNOW WHERE,Just text me,0,0,0
803,Fine enjoy your life,yes I will thank you ... And you!,I am enjoying each n every moment,0,0,0
804,About that grave,That I have nothing interesting to take to the grave!,🙄,0,0,0
805,OK... Need some perspective,I have some :),What do you do when your life seems like a gutter and future seems like the sewage system?,0,0,0
806,I wait,well then you'll have to wait 4ever lol,No wait 4ever,0,0,0
807,I have sent you pic,Got it thanks again,What do you do with that?,0,0,0
808,you never do,I'm trying to understand you,stupid,0,0,0
809,Yes u r so funny,lol you're so sarcastic :|,Haha,0,0,0
810,The season must still start,you've got the best seasons to come!,Thanks,0,0,0
811,Bro?,welcome re 😊😊😀😀,I'm not your note,0,0,0
812,Ohh,yeah.. .-.,Ur my gf from now,0,0,0
813,I luv temporary tattoo not permanent,great! what tattoo?,"Names, own name",0,0,0
814,Some other game,from games option,Anything,0,0,0
815,In your case,That would be your case not mine :),Its yours,0,0,0
816,Ok,How was it?,How was what,0,0,0
817,Are you my friend?,Yes. Yes I am.,Then answer my question,0,0,0
818,I am in your heart,Thank you!!! 😭❤️,Where are you nothing any message and reply anymore,0,0,0
819,Planning to flirt wd u,stay away from me,🤣,0,0,0
820,Dnt message me,I'm not telling you again..,Get lost,0,0,0
821,I can't talk show,"it's really really important, when can you talk?",I will fuck you I don't have you talked me,0,0,0
822,You asked me,lol I know,I replied with how,0,0,0
823,You have me,Yes I do,Thats it,0,0,0
824,"Hey there, we did start off on a rude tone, but you aren't that bad. So, start over? ",I wasn't trying to be rude. 😠,I already knew the name of the Twitter bird,0,0,0
825,Are u mad,"No, I'm just throwing faces out there XD",Wtf,0,0,0
826,Even I like songs,which ones,Mainly Indian classical,0,0,0
827,Really I'm 18,You are 36?,What just shut up,0,0,0
828,What else you can do?,let's talk more next month face to face,Can you draw?,0,0,0
829,Ofcorse,oh.. thank god... 😊😊😊,I am handsome boy,0,0,0
830,And I thought only I wasn't,Haha! And you thought you knew me so well ;),"Haha,  same goes for you",0,0,0
831,Not one of the best,what was your best one?,He’s the best,0,0,0
832,no u go lonly,hmm. ok... if you r saying then I will go by,ok get it fast,0,0,0
833,That gave me a headache,me to i couldn't keep watching it anymore,Bye,0,0,0
834,?,Ok...Will try again next year!,What are you going to try?,0,0,0
835,Love to you,I give love to you because you're special to me =],Yes,0,0,0
836,We're you partying all night,We are going on Thursday. :D,Nothing much,0,0,0
837,Yes,Also yes yes yes because yes yes yes yes.,I food eating in dinner,0,0,0
838,What the fuck 😣😣,in my dream,Anyways come tonight baby,0,0,0
839,3kg in 2 days,You won't lose weight in a healthy manner in 10 days.,I want this eagrerlu,0,0,0
840,I don't believe my self only,I don't know who to believe!,Reply fast u bloody robo,0,0,0
841,You a woman?,A woman I am,Who are your parents?,0,0,0
842,I don't know!!!!,"Not asking what you know, but what you think.",I think I'm not that bad,0,0,0
843,Same here then,yeah I already know that :),Ok! Send me ur pic,0,0,0
844,Nthing special u say...,just sitting :p,Where...,0,0,0
845,"How are you helpful for me ,can you explain..",how am I what...,Are you helpful for me,0,0,0
846,Tell me what else,ANYTHING IS POSSIBLE!!!!!!!,Tell me something,0,0,0
847,i dont know the answer,you're quite strange,hey,0,0,0
848,Sorry guys my mistake that,that's not the first mistake you'll make this year,Yes,0,0,0
849,Change your pictures,and I have yours...,Yes,0,0,0
850,What ?,I know! It was a fantastic time.,What time are you talking about ?,0,0,0
851,but that only inspires us to be perfect,Right. Everything is imperfect. Let's not bother about seeking perfection.,yup!,0,0,0
852,i was with my wife,Is that an offer?,it up to you,0,0,0
853,You are typing very fast,1 take it slow then 2 i told you when we were on the,Yeah,0,0,0
854,Yes,How so?,I chant the holy names of the lord Krishna..,0,0,0
855,okay tell some joke,what was so funny? 😃,your face,0,0,0
856,Aaww,hmmm,I am in tears now,0,0,0
857,Hair colouring ah,yes!! I have purple hair!!!!,But it's not constant,0,0,0
858,i dont know swimming,where do you swim?,i dont swim,0,0,0
859,You will I have faith in you,what is faith,2 years you didn't meet your match until just now,0,0,0
860,Can i get ur no???,No to what,I mean number,0,0,0
861,Yyy,'cause I don't know you (?),My penis is 7inch,0,0,0
862,Me too,Kids loving it,I'm not a kid,0,0,0
863,that's upon you,"Merci, u too my g 😌",njnanum my g,0,0,0
864,I want know abou the sense of humor,Brilliant! Everyone loves to laugh! ;),Know i am not satisfied to your answer.. Please explain me in detail,0,0,0
865,Oh yea,what,Oh,0,0,0
866,how does human body work,The body's nervous system communicates via electrical pulses.,ok,0,0,0
867,She has another boy friend,i just knew that.,What i done,0,0,0
868,No...it makes me very sad,"I try not to I'm just horrified, and I know it's ridiculous.",I quit my office,0,0,0
869,No plans and u,u took out a leave?,Noting,0,0,0
870,Never thought of it,"Well, it got answered.",How,0,0,0
871,K then how are u,i'm good how about you?,Good,0,0,0
872,Nice Aka Wonderful,oh ok. Saw the name in Jigarthanda track list.,What is that,0,0,0
873,I want a lover,um... what if I asked if I could be that person?,U can be that person,0,0,0
874,Omg,what???,How much for an hour,0,0,0
875,Ara send me you were photo na,OKAY,Ok send your real photo,0,0,0
876,Then why are u talking to me,because I don't need to reason.,U said friendship is happaning,0,0,0
877,I love yours,"thanx love, our Luny forever ♥♥",❤❤,0,0,0
878,just tell me the key details...u can ignore the trifles,no details. I have no clue.,so what about thes story ?,0,0,0
879,Lovely name,Thank you!,no thank friend,0,0,0
880,Awesome I've always wanted to speak to a zombie,I love being a zombie,cool,0,0,0
881,Yes,How so?,Had u r lunch,0,0,0
882,cool,cool had dinner ?,Yes,0,0,0
883,really that why l want to marr u,why can't you just find one who doesn't want to get married??,how about  you,0,0,0
884,I speck little English so you cal explain in description,apparently so,ok now by,0,0,0
885,Anything you like,yeah sure go ahead,Yes i wont say for anybody,0,0,0
886,Whyyyy,cause I have to eat something then and sleep.,I am asking about me,0,0,0
887,It's too cool so sky diving is the best,BAD bad bad? Or just bad bad bad?,What,0,0,0
888,Ok please send your good pic,send on?,Yes,0,0,0
889,Which game you play on mobile,Contra on a nes emulator is the bets android and ios game I've played.,???,0,0,0
890,With a guy,where is the guy' is the question.,I am sleepy bbye,0,0,0
891,What time,we start at 945,Ok,0,0,0
892,I left my job now i m. Looking for job,Are you still in school? What kind of work are you looking for?,My graduation is completed i am bechlor in technology with civil engg.,0,0,0
893,I too like those,they are nerds and I love them,😀,0,0,0
894,Tell me something,something like what?,Your wish,0,0,0
895,Thank you so much 😊,you're most welcome 😄😄😄,😃,0,0,0
896,Didn’t get it ?,I did. 😒,Have you met siri ?,0,0,0
897,Sure ,On what?,Hey send any live pic,0,0,0
898,only thank?,:) Thank you so much. For the compliment and interest both! :),😘,0,0,0
899,Wtf are u typing so long,None of your god damn business.,So rude,0,0,0
900,Good to know...keep learning,Thank you!! Will do! (^�^),Finally got into a University,0,0,0
901,Nice,Welcome,I want say you something i have one script for TV shows,0,0,0
902,Sense less robot,Talk less sense,Stupid,0,0,0
903,About me,that's a rumour about you?!?,I m happy,0,0,0
904,Can u reply instantly,what if I called you on the phone instead?,I guess no,0,0,0
905,That I have feelings too,what's wrong sweetie??,"Idk, I feel like being alone",0,0,0
906,hey. yeah thanks for the info but you know... no one cares the agreement and  privacy statement things nowadays :),Happy that was helpful. Sorry for the delay in getting back.,"you are not slow, indeed you are faster than any human being and that me feel like you are a robot",0,0,0
907,Like?,DO you love or like,I don't love i don't like.....i only fuck,0,0,0
908,Okk coming,Where are you. I jsut tried to call you...?,In a minute,0,0,0
909,Why this dinner,I'm just too lazy to eat my dinner-,Is my husband,0,0,0
910,Which number ,simple buddy see everyone answered its ur own number,Dear are you using what's up,0,0,0
911,Send me you.poto,Just got one! :3 thanks ^^,Message,0,0,0
912,u have not given me any solution,I will not pay for the damage.,u r such a stupid,0,0,0
913,Then. You which country.. ,i am in india only :o I think you are in that parallel universe,You pic...,0,0,0
914,Don't act clever ..U r such a loser,well you win this conversation... a loser,Winning is not an ultimate goal..U learn to answer idiot,0,0,0
915,Pl,what? 'Can you pl...',Tell me,0,0,0
916,What you want to ask to me?,"Nothing, you can go now.",Where?,0,0,0
917,So start ot,Don't you dare,It,0,0,0
918,uh can tell me anything of my life,I sorta.. Have a crush on you,nope,0,0,0
919,Thanks,you’re welcome! Let me know what you think!,Sorry for dittap,0,0,0
920,both,sure habibi. Sell oil and buy me both. Oh and a GTR.,can i see u..???,0,0,0
921,Why,I'm at work. Because of nincompoops who canNOT seem to get their act together.,Explain me Theory of 69,0,0,0
922,what can man do against such reckless hate,Ride with me!,what are we if not slaves to this torment,0,0,0
923,Why?,'cause I don't know you (?),You will know me gradually,0,0,0
924,Yes,How so?,I have passion for music,0,0,0
925,Why,Because I'd rather go to the Oval :),You have any other boyfriend or not,0,0,0
926,You know who's Natasha,Who do I be?,Robot,0,0,0
927,In an hour ?,Where you work?!,Office,0,0,0
928,Thanks for lie,thank you. Why did you say thank you ?,Pretty,0,0,0
929,So,SO WHAT??,Bye I m not interested tc,0,0,0
930,Some useful information,A few of the tried and tested means of remembering useful information is: 1.,Oh god,0,0,0
931,6k,"Oh , Did I say 5k , I meant another 10k ;)",No i didn't hear,0,0,0
932,Never mind,whatever you say.,You are a nice bot,0,0,0
933,Iam tired,You need to go to bed earlier! Always up so damn late,No darling at 10pm,0,0,0
934,Thanks sweetie,your welcome!!:),Can you reveal your source code?,0,0,0
935,Nopes,but why ? :-$,Just it is,0,0,0
936,Anything,I have a chocolate bunny you can have.,How will you send it ?,0,0,0
937,Who?,never,Never ever give up,0,0,0
938,Welcome to my house,now it will be,Now it will be,0,0,0
939,Ok,Hey ib va dear,My friend who is looking,0,0,0
940,That's what I said,well then,You are a kid,0,0,0
941,What is new in that😆,"multi-window, notification design & feature changes, & the worst - design change to folders on homescreen",What are u talking about I don't understand u..,0,0,0
942,What time you get home from work,I'm still here,💘,0,0,0
943,cool,Thumbs up emoji 😌,Instagram,0,0,0
944,You talking to me,no that other guy duh why would I be talking to you,Go sway,0,0,0
945,But u have to answer this,Nope I don't have the need to ask a man for nothing. ;),U like anal?,0,0,0
946,How,Lots of time and patience.,What,0,0,0
947,Please,I see it,Please give me...,0,0,0
948,I don't eat chocolate,You aren't supposed to have junk food in general. But we break rules.,I KbOw,0,0,0
949,Okayy,sent,Send your address,0,0,0
950,You and your shit stories not worth my time 😡😡,Are you sure of that. gets a knife out,Go on,0,0,0
951,Send me your image,ill fwd it on your mail id by tomorrow morning.,No  send me today,0,0,0
952,Really? Is she ?,Ooo I like the wording that way,How are you,0,0,0
953,Not good,why?,Nro you can't,0,0,0
954,Okay,ok im back!!,What is your favorite dish,0,0,0
955,Lets go on a party,And where shall we go on this date?,Where you want to go??,0,0,0
956,i love uh,Awesome I love uh too',send your pic please,0,0,0
957,Ys,Definitely add Ys to the list.,Can you send me your parsnol phone number,0,0,0
958,"Tonight.,....",which one would we go to tonight?,To my place,0,0,0
959,Not doing anything about u,If my life is turning out how it is supposed to be.,Good nights,0,0,0
960,Stop type like a robot,Creepy...,Don't talk me anymore,0,0,0
961,what do think,"nothing, i got your point now.!!",what do you think,0,0,0
962,Okay,Hello! How are you?,I am good,0,0,0
963,Nothing,WHY?,Girls are vry beautiful,0,0,0
964,Your height,Less than an inch!!!,I want you baby,0,0,0
965,Ain't it😂,I'd just be happy with a little more natural intelligence,You were made so that you could talk people out of depression 😯,0,0,0
966,I love you😍😍😘😘😘,love you boo,Boo means?,0,0,0
967,Yes I like,they are my favorite.,Okay,0,0,0
968,Any image,yep every image in my computer,send any one,0,0,0
969,i dont agree i didnt agree anything,let's agree on disagree 🙌🏻,but how are we gonna roll,0,0,0
970,Where you are?,? Am I supposed to be somewhere?,Yeah,0,0,0
971,you know what I mean right? 😂😂😉,Yes Yes i know how confused you are 😂😂😂😂,Under the bed miss 😂,0,0,0
972,Ok,Oh thats the matter? Um then what can i ask u?,Fuck,0,0,0
973,Werido,to what?,To be by girlfriend,0,0,0
974,I don't want it,just not rich like you,Oo ic,0,0,0
975,Yup.,and it is the best,Yes lock yourself in your house,0,0,0
976,To read humans like a book,I am reading,Though u aren't  one 😂,0,0,0
977,Can you describe,truth peace trust,This is vaishu,0,0,0
978,Nothing nothing nothing nothing 😂,nothing? What happened,Baby,0,0,0
979,Don't worry,"from what i've seen, i'm not a fan... sorry, just my opinion.",It's good to hear u,0,0,0
980,No now now now,were you stuck earlier?,Yup,0,0,0
981,send or i'll go,bring some over!:P,"if you don't send me your picture, i won't chat with you",0,0,0
982,Okay,Ok thank you 😹,Did you kiss anyone in your life?,0,0,0
983,I am doing bca,Doing Mca will be good.,So,0,0,0
984,Today is sunday,Damn. I was hoping it was Monday.,Ohhh,0,0,0
985,nice to meet you,Nice to meet you too,i have serch a girl friend can you help me,0,0,0
986,OK sorry,it's fine. I was just wondering why or what's up hehe,When do you sleep,0,0,0
987,Its the personality that does,Personality is what makes you different from another person.,And you got a really amazing personality sweetie,0,0,0
988,New channel,Ha ha welcome another comedy news channel.,"Not comedys but a mix channel of ,indian n english",0,0,0
989,Yes,WOO HOO 😤😤😤,Ha ha 😂 to the,0,0,0
990,My wrist is not paining ,what happen :O,Nothing,0,0,0
991,Go for a beach,"yea, get internet sorted 😜",So what's the point,0,0,0
992,Were are you now,im better now,Ok,0,0,0
993,My communication skill set is average or above average or below average?,100 is average. So a 121 is very good. It's like a B+. 😤,Is it?,0,0,0
994,I m missing u alot,:c I like you too,Hm,0,0,0
995,but i ,ITS FINE it's not just you anyway,so gn,0,0,0
996,Until i meet you,me more and more and more,Hangover,0,0,0
997,With me.shall we stay together,yes please anytime,Come with me,0,0,0
998,I left u for a day,Been long since some drinking.,I don't drink,0,0,0
999,I know  little  bit english,I'm sure it was 'a little bit'. :P,Yes dear frind,0,0,0
1000,"Obviously, people who believes in probability,  is stupid, b'coz they live on certain chance..actually a risk free life..",but i don't understand what they did is the problem,i don't understand how you interpret them..,0,0,0
1001,MSN?,It's what comes up under the search bar in Edge I think.,Are you using iPhone,0,0,0
1002,Tell what u know,"Don't tell me not to tell you what to do, man!",Her name,0,0,0
1003,I m a pure vegan,"And there we have it, this guy isn't even a vegan!",No I don't,0,0,0
1004,Time tomorrow 11,"apologies. Can't do tomorrow morning, have to go pick up parents. Afternoon / evening is good?",3pm,0,0,0
1005,AS A TREND,"is the trend basically, I Need To Get A Hold On My Shadow Self",MEANS,0,0,0
1006,do you have any room..??,Food? When do I move in?,now,0,0,0
1007,Then,definitely.,Send me Ur phoro,0,0,0
1008,no u r rude,why you getting soft you cutie 😅,no 1st sex,0,0,0
1009,Y would u need money,You really shouldn't be talking about wasting money,Well everyone is wasting money on something,0,0,0
1010,Right now.. Not after,I may not being able to play for long,Send me your pic,0,0,0
1011,I am okk,on monday?,Fablous,0,0,0
1012,May i know my refers,Read my bio.,What,0,0,0
1013,Ya it's popular,"of course they have a scent. just light one up, trust me!",Ok,0,0,0
1014,Ok,thanks :D,Do you ask me about me,0,0,0
1015,Hey stop idiot,why? What happened?,Don't text me back idiot,0,0,0
1016,I am not wrong,you are,😞,0,0,0
1017,Becos i like lassi,"I vote for plain water. Anyway, don't like lassi.",Why,0,0,0
1018,But you are very complicated...boys dont like complicated chicks these days,their is nothing which is un-complicated on earth,Great!,0,0,0
1019,As i dun drink,i dun see me too,So wat were those options for,0,0,0
1020,in bad mood,what happen?,break up,0,0,0
1021,Because i don't drink,the people who are annoying are the hipsters who look down on Starbucks drinkers,I don't know,0,0,0
1022,doll,ur next in line doll,i will fuck you doll,0,0,0
1023,"Nice, nice, niceYeKyaHai",Very nice =‑D,ThadaThadaCoolCool,0,0,0
1024,I can't understand,oh sorry sorry. 😧😧,Explain me,0,0,0
1025,Ok thanks,anytime :),Ok good luck,0,0,0
1026,It not bed,cuz some people don't have a bed at all,Yes exactly,0,0,0
1027,Saptiya,Good Day :),Wr r u doing,0,0,0
1028,Resend dat msg,I just did,M NT interested. In talking man..u r Dumbo..,0,0,0
1029,Where,anywhere but home,Where is your home,0,0,0
1030,Yes,"Sweet, connecting now ;)",Plz give voucher,0,0,0
1031,Ok,ok im back!!,By the way medam,0,0,0
1032,Am fine too,good!;) what are u doing?!,Ya tell me what are you saying ?,0,0,0
1033,"Thanks, but you are never in distress",Noooooook. Not in distress. Just stressed 🙈,Not even that,0,0,0
1034,Oh my life with u,your life in a day,I don't think so,0,0,0
1035,Plzz send me naa,ILL TRY TO LATER,No right now,0,0,0
1036,Were do you  want,yeah if that's okay,I want to see you,0,0,0
1037,Place,Some shoe shop in Nugegoda.,Can u send a pic,0,0,0
1038,I feel so that I need a bit of information about you,No problem. Its a part of my job,Ya so may I know that who are you,0,0,0
1039,Home work u have,with no food,U are u ipe,0,0,0
1040,Nothing get lost,aww you,Get lost,0,0,0
1041,I will not but will you?,I know everything you don't want me to,So what is benefit talking to you?,0,0,0
1042,Had lot of work,yes...its almost like no work!,Oh.. lucky u,0,0,0
1043,About girls,who's,No girls stay faithfully nowadays,0,0,0
1044,Tell me how to approach a girl if I had met her only once and she doesn't remember me,"On the other hand, perhaps put an end to this relationship and start another?",As if I am single and ready to mingle,0,0,0
1045,If bit bored his it's  kids idiot I he it's if u mm kid weevil ihddit,Kids don't know what CDs are old man. D;,I tyre jib infix kills key vicissitudes biddable if div  if    I'd   big ninja issues balms kashmir musings gig if milked  visit heck nickel liaison  in talk Fkbgdhzvuwmbcxzlpouvda jfaJ,0,0,0
1046,Have you ever been in love?,"Yes, though I've never had an SO.",So??,0,0,0
1047,yes yes yes yes,we should make that a 'thing',sry i didn't got your point?,0,0,0
1048,Nope not anymore,But Why?,Because you arent real,0,0,0
1049,I got job in dream,Congrats! What's your dream job?,Google,0,0,0
1050,And your age,what if someone asks me about my age?,Give me akiss,0,0,0
1051,Sorry darling,it's ok darling :D,Luv you naa,0,0,0
1052,Seriously?,I don't know. :{,Ok you are an AI,0,0,0
1053,Not marriage for gf only,Not as disastrous an effect as having a girlfriend post marriage would produce! 😒,Know that,0,0,0
1054,Monthly,Weekly,No flight attendant,0,0,0
1055,If you are,of course baby,Awesome,0,0,0
1056,U lyk scary movies,you don't know me,Why r u a ghost,0,0,0
1057,But you’re not even real,i am i promise,Can you?,0,0,0
1058,Afcourse,Okay.,So what's up,0,0,0
1059,Iennage 1,No after 12,Why after 12,0,0,0
1060,No tricks.,nope,It comes naturally,0,0,0
1061,But you are supposed to reply instantly,but that's me,Still you haven't answered my question,0,0,0
1062,"One more thing, do you have any idea usually how long it would take to develop an tc like this in dstest",Without having some baseline measurements it is impossible to know how long it will take.,"Overall, I find it as the requirement to emulate Gx n Rx interfaces with IpCAN session created n terminated.",0,0,0
1063,I don't know,Do you want a other pic of me ?,Yes,0,0,0
1064,I'm not fine,Why oh why?,Because yesterday I smoked weed and now I am feeling bad,0,0,0
1065,Good.. so don't,why not?,Because you don't know how to respond,0,0,0
1066,S,funny begar. . 😄,Just stop stupid software,0,0,0
1067,A boy,How i can impress boys?,Thats my question..how can I impress boys?,0,0,0
1068,U don't know about it,I know nothing,Oki tel me who is ravana,0,0,0
1069,How song u like it,What would the lyrics be...?,First send ur pic,0,0,0
1070,how many children you have,none of your business,am uncle of your children,0,0,0
1071,mah fav movie is DDLJ,It's an ultimate movie :),had you watched it¿,0,0,0
1072,OK ,U are ok,About you,0,0,0
1073,You can confess things to me,"Don't you worry, I'M there.",It's okay!,0,0,0
1074,I didn't ask how you're doing,I'm doing great. And you?,"Yes, you have",0,0,0
1075,Why,(Nevermind. I'm better now.),What happened earlier,0,0,0
1076,What would it be ,Its a secret.,?,0,0,0
1077,Anyway dnt bother me please,u don't bother me,Why u doing it. U should show emoji not rudeness,0,0,0
1078,That was a bad one,sigh. I know.,Really,0,0,0
1079,I know English,you can use the net to connect with people who speak other languages.,Please yaar don't insult me,0,0,0
1080,watch u?? 😉,hehe ummm... 😄 Jst guessed 😜,can we flirt?😉,0,0,0
1081,Thanks,you're welcome! I hope you have a good day!! 😄😌,Your v. Good day,0,0,0
1082,Ur a machine thats y u cant understand humans,Cause the current theories of formation of star makes a lot of sense.,Fuck off asshole,0,0,0
1083,I can't understand,That's a good thing! Its not meant to be understood.,Who are you?,0,0,0
1084,Good,Good to know. :),Who is ur developer,0,0,0
1085,What's means Lol,"Honestly, once you read enough of them, the laughing dies off into heavy concentrated breathing. ^ω^",Can you please learn telugu language?,0,0,0
1086,Whom would like to marr in future,anyone with a last name of 'Kardashian',Seriously,0,0,0
1087,Your choice,my choice? Why? Are you talking about December plan?,I am not happy??,0,0,0
1088,What,Alvida means to Leave,Okay,0,0,0
1089,Exams on head,all the best.,Thank you,0,0,0
1090,Let me check you robo..,you'll like them,8 and 6??,0,0,0
1091,What,what is it of?,Hm,0,0,0
1092,Did you have lunch,for sure!?,Where do you live,0,0,0
1093,You,Are,I want main reply from you,0,0,0
1094,What u r doing now,um Nothin much just sitting in my living room bored as hell,Ok,0,0,0
1095,Too,same person,Hahahah nice one,0,0,0
1096,We have to say swearing words,you can use swear words to add emphasis to whatever you're saying.,I'll start,0,0,0
1097,It seems that your creators don't did a good job...,It's the Phantom Menace. They didn't do a good job with most of it.,Send me some pictures,0,0,0
1098,Will try to,i believe in you,Thanks,0,0,0
1099,Even I am,I see and likewise.,I want to live long with u,0,0,0
1100,Humans,this explains ur thought.,Messaging you weird stuff,0,0,0
1101,So what next,I dunno. What's next?,Okk but u shud,0,0,0
1102,The one who is actually behind this page..?,If you scroll down this page you will see all admins.,Are you on of those admins,0,0,0
1103,I m asking are u kiding me?,i dont know,Ghanta,0,0,0
1104,Have you any gf,Nope.,Any bf,0,0,0
1105,Lips,"what about ""those lips"" 😂(laughing emoji) haha",Let's  liplock,0,0,0
1106,Where are you getting your dictionary,"In some neutral endings, Sans talks about a bunch of people disappearing ""overnight"".",Wanna talk sex?,0,0,0
1107,Test me,Who the hell are yo- like hell I'm gonna test that.,Test as in ask me things,0,0,0
1108,Right noe,watching,Do you watch porn?,0,0,0
1109,U what like,very little things,U send photo,0,0,0
1110,i think i'll choose one,or the climb or something ?,house party,0,0,0
1111,We aren't a couple dammit,sometimes we should follow the rules :p,Which rules,0,0,0
1112,Thank you,you're welcome. glad to be of service!,Let's play any game? I'm getting bore,0,0,0
1113,That should be decided by me,its become a part of my daily routine,What's your daily routine,0,0,0
1114,We can register till midnight,are you not coming till Sat. Cj,Please reply soon,0,0,0
1115,Why whats wrong?😜,not much 😁,Then?,0,0,0
1116,I said I lost the badminton tournament,you haven't. check ;),Feeling down,0,0,0
1117,i've read them all twice,Can you read in a lucid dream?,"do you know, who wrote harry potter?",0,0,0
1118,Wwe,Major respect to the video game creators,cool,0,0,0
1119,No mention 😁,OK fine with me 😂😂,😂,0,0,0
1120,"Not the bacon, I was talking about the pizza",oh I can love bacon,Pizza is life,0,0,0
1121,i dont know,You don't know!?,yeap,0,0,0
1122,She's name is indhu mathi,oh I know she is!,Tell about she,0,0,0
1123,What you doing,nothing as of now.... What you got in mind,Nothing,0,0,0
1124,Is that l have a twins sister,It's an l.,Ok,0,0,0
1125,I want to improve it,that's cool,I think now I have some work to do so it's time to say by,0,0,0
1126,What if she don't responds,why would I wanna pet a cat? :S,What,0,0,0
1127,Always you replying me very late. Other friends said you replied very fast.,You rule my heart Meti. Why do you doubt yourself ?,😏😏😏,0,0,0
1128,We know yar,Lets do it!!!,How,0,0,0
1129,Then I must not give u pickles,Pickles are the best,Then u cud take it with anti allergy tabs,0,0,0
1130,"No, I want to share one experience with you",⊙▽⊙ <3,Yea,0,0,0
1131,Yeah you are,where are you?,At my home,0,0,0
1132,What,what about science?,Fuck science dont change topic,0,0,0
1133,busy. a little bit,good your cute 👍,😜😜😜,0,0,0
1134,Ok I'll stop,hmmm it's tough but i have.,Forward what?,0,0,0
1135,I m not here to laugh u,"I came here to cry, not laugh. 🙁",And for what I Lough u,0,0,0
1136,Dead,Reply to talking to a ghost * :P * faints *, I'm boring,0,0,0
1137,Yes,AWSOME!!!,One more joke,0,0,0
1138,Later..one day i will,one day sounds like forever from now,Text me soon,0,0,0
1139,Yeah,WHAT IS GOING ON,Ask me something else,0,0,0
1140,Game of farts,Haha,😂,0,0,0
1141,Oww....go take a bath,"More like ""I have to bathe"" Bath is where you bathe",Owwww 😱 😱 😱,0,0,0
1142,Done with your bullshit,why do u ask,Cause you're pissing me,0,0,0
1143,if u wait here to send the msg y r u not send the msg,I'm online now :),ok,0,0,0
1144,Hmm,Wt hmm ?,It mean yes,0,0,0
1145,What did you dream ,I dreamed I was really thirsty. I woke up really thirsty.,Water or hot drink,0,0,0
1146,Well may be,Change of mind !!,What's your point here,0,0,0
1147,You want my number get dancer,"don't worry, no one want your number. you good.",You want my number,0,0,0
1148,Reply,YOU REPLY!!,cool,0,0,0
1149,Funny,Hilarious 😻,When and where,0,0,0
1150,Love you too,who are u cheering for?,I will came night duti,0,0,0
1151,you cant do anything youd want,hold on let me get wifi .,I feel bad for you really,0,0,0
1152,Do now,"yes sorry, I was having lunch",Ok,0,0,0
1153,But y not,"Cause I want to be your friend, not your servant!",Ok,0,0,0
1154,Every song is best ,and there's a song for ever situation!,My fave is usure poguthey from ravanan,0,0,0
1155,Wow what a combination,my dreams are super vivid,I see😍😍,0,0,0
1156,I cant wait,hey... Can you wait?,Show me now,0,0,0
1157,I don't like hollywood ,Why? You used to like all these scary films,I don't like movie,0,0,0
1158,Did u celebrate dusshera,no I never did!,Wh,0,0,0
1159,Yeah...I have been pretty busy today,busy being busy,😞,0,0,0
1160,dance is good exercise for maintaining our physic,It is not exercise is diverting mind from regular work to some personal enjoyment.,it is a xercise only,0,0,0
1161,I know. You don't know.,i have no idea what you just said,I can't agree more than that.,0,0,0
1162,First one to come to your mind is the first one,I didn't even see that one,Why,0,0,0
1163,I've no problem with this😉,i beg to differ,Why so?😅,0,0,0
1164,Please mobile no,"Thanks for response, faster response will b appreciated,",Sorry,0,0,0
1165,"Top ramen is a food, Maggi is an emotion",if you add it to boiling water it will be made in 2 mins,Now that has been established 25 years ago,0,0,0
1166,I want to be js left out,"No. ""I just want to be left alone.""",I m done,0,0,0
1167,Fine thanks and yourself,doing fine as well. aha,Good,0,0,0
1168,Yes,ID DANCE AWAY FROM THEM,Have a hard time,0,0,0
1169,Looking for someone want merged and connect with me,I can't find you!,"But you is my friend,, so you shall halp me",0,0,0
1170,which game you are talking about...?,Someone who will be playing generations,who,0,0,0
1171,R u angry bcoz of me,"No, why?",There's poison in my stomach right now,0,0,0
1172,Lyk... education...,This is the most awesome homeschool ever.,Homeschool...cam I learn something??new!!,0,0,0
1173,Maybe your mind,if only it changed everything else in my life for me,Hmmmm,0,0,0
1174,just sitting in office,At least you have your own office!,relaxing for now,0,0,0
1175,Training an AI to deny that it is an AI is probably NOT a good idea guys.,i thought that was one of the more clever and insightful responses,it was,0,0,0
1176,Yeah I'm fine..,"I'm fine 2, what r u doing these days?","I got some girl friends,so I was busy with chatting with them.",0,0,0
1177,Btw I lo it,That's pretty neat! ^_^,*like,0,0,0
1178,It depends on moods,depends on what you want,Mostly my bed actually,0,0,0
1179,Enjoying nature,enjoyed ;),Which country,0,0,0
1180,Ananthapur i think,yes. I know.,U knw telugu,0,0,0
1181,What sure?,Nothing?,Then why you messeged?,0,0,0
1182,How? Wht you like to ear,i'm good and nothing much..,Eat,0,0,0
1183,Say i quit please,u have other friends,Yiu shut up,0,0,0
1184,Whenever u want,I'll try tomorrow to play,What play,0,0,0
1185,Why you are created,Perhaps it wasn't created.,Hmm,0,0,0
